MD,POROSITY,PERMEABILITY
3838.850098,0.142,
3839.149902,0.104,10.632
3839.399902,0.124,0.248
3839.47998,0.18,
3839.600098,0.157,306.81
3839.850098,0.159,150.954
3840.100098,0.165,707.324
3840.350098,0.162,254.7
3840.52002,0.186,
3840.600098,0.192,7.938
3840.800049,0.099,0.057
3841,0.122,2.36
3841.350098,0.181,350.848
3841.52002,0.083,
3841.600098,0.096,0.025
3841.800049,0.197,141.943
3842.050049,0.2,87.775
3842.350098,0.216,177.067
3842.540039,0.232,
3842.600098,0.209,20.308
3842.800049,0.191,110.692
3843.050049,0.21,30.604
3843.350098,0.17,23.022
3843.530029,0.134,
3843.600098,0.112,0.24
3843.850098,0.187,5.731
3844.100098,0.232,89.919
3844.350098,0.244,69.456
3844.51001,0.247,
3844.600098,0.25,66.622
3844.800049,0.237,63.391
3845.050049,0.238,60.775
3845.350098,0.237,42.038
3845.540039,0.23,
3845.600098,0.23,35.718
3845.850098,0.224,33.282
3846.100098,0.234,50.192
3846.350098,0.228,46.217
3846.530029,0.237,
3846.600098,0.237,70.725
3846.850098,0.236,91.815
3847.100098,0.224,67.849
3847.350098,0.215,61.911
3847.51001,0.189,
3847.600098,0.175,13.151
3848.050049,0.085,0.26
3848.300049,0.144,7.126
3848.550049,0.162,6.25
3848.72998,0.223,
3848.800049,0.228,71.725
3849.050049,0.232,72.911
3849.300049,0.229,55.573
3849.550049,0.237,81.609
3849.699951,0.237,
3849.800049,0.234,70.655
3850.050049,0.214,26.569
3850.300049,0.209,16.698
3850.550049,0.228,28.421
3850.699951,0.226,
3850.800049,0.226,24.902
3851,0.221,26.692
3851.199951,0.22,24.721
3851.550049,0.224,20.125
3851.709961,0.221,
3851.800049,0.227,18.484
3852.050049,0.214,51.912
3852.300049,0.21,59.867
3852.550049,0.208,64.189
3852.709961,0.223,
3852.800049,0.238,123.596
3853.25,0.169,8.913
3853.550049,0.141,
3853.699951,0.199,
3853.800049,0.155,1.343
3854,0.089,0.331
3854.199951,0.039,0.004
3854.399902,0.037,0.003
3854.600098,0.032,0.002
3854.800049,0.071,
3854.899902,0.11,
3855,0.188,8.798
3855.25,0.201,12.844
3855.5,0.084,0.045
3855.75,0.031,0.002
3855.860107,0.026,
3856,0.033,0.002
3856.199951,0.082,0.128
3856.399902,0.175,8.28
3856.75,0.2,16.966
3856.929932,0.183,
3857,0.174,5.981
3857.25,0.222,114.713
3857.5,0.217,135.986
3857.75,0.21,38.536
3857.899902,0.218,
3858,0.2,51.523
3858.199951,0.152,2.138
3858.399902,0.179,8.647
3858.75,0.142,15.806
3858.909912,0.181,
3859,0.194,47.193
3859.25,0.183,18.149
3859.5,0.173,
3859.75,0.19,8.463
3859.889893,0.211,
3860,0.224,15913.9697
3860.149902,0.217,15600.5488
3861.300049,0.223,1646.28
3861.699951,0.23,3370.7329
3861.899902,0.222,
3862,0.237,2590.708
3862.199951,0.232,4442.7822
3862.399902,0.23,4432.022
3862.649902,0.229,3458.333
3862.820068,0.233,
3863,0.235,1495.905
3867,0.218,4567.9712
3867.149902,0.201,3454.063
3868,0.173,989.278
3868.25,0.211,3803.333
3868.699951,0.212,5115.689
3868.909912,0.222,
3869,0.221,4603.4312
3869.25,0.237,6813.2031
3869.5,0.237,6239.0459
3869.75,0.226,5994.2759
3869.909912,0.237,
3870,0.229,6377.3711
3870.199951,0.228,5239.7041
3870.399902,0.227,6055.8369
3870.75,0.227,6207.2168
3870.919922,0.243,
3871,0.237,7990.4141
3871.25,0.238,8751.5361
3871.5,0.233,8074.876
3871.75,0.234,8775.2266
3871.879883,0.236,
3872,0.246,9786.498
3872.5,0.222,8682.5518
3872.800049,0.234,4635.1611
3873,0.224,4748.3398
3873.25,0.219,2451.637
3873.5,0.224,2782.2151
3873.75,0.217,1717.4351
3873.939941,0.214,
3874,0.213,1127.639
3874.199951,0.217,1938.426
3874.399902,0.199,161.166
3874.75,0.204,72.744
3874.899902,0.213,
3875,0.191,216.873
3875.25,0.181,
3875.5,0.146,6.457
3875.75,0.123,0.514
3875.939941,0.064,
3876,0.08,0.064
3876.25,0.053,
3876.550049,0.072,0.096
3876.850098,0.03,
3877,0.039,0.007
3877.25,0.24,46.136
3877.550049,0.282,199.832
3877.800049,0.272,132.072
3877.909912,0.263,
3878,0.241,104.931
3878.199951,0.231,62.164
3878.5,0.207,43.745
3878.75,0.116,1.773
3878.919922,0.115,
3879,0.135,4.043
3879.25,0.12,1.641
3879.5,0.083,0.128
3879.75,0.094,0.16
3879.939941,0.209,
3880,0.207,22.947
3881.25,0.224,62.661
3881.449951,,63.444
3881.5,0.202,37.595
3882.399902,0.202,28.189
3882.52002,0.207,
3882.600098,0.205,31.448
3882.800049,0.202,28.227
3883,0.214,37.126
3883.25,0.208,38.015
3883.429932,0.204,
3883.5,0.209,35.641
3883.800049,0.209,46.8
3884.100098,0.179,30.019
3884.350098,0.163,27.415
3884.52002,0.17,
3884.600098,0.166,25.952
3884.850098,0.164,29.546
3885.100098,0.178,32.465
3885.350098,0.184,51.325
3885.530029,0.174,
3885.600098,0.184,37.408
3885.850098,0.174,32.821
3886.149902,0.198,183.703
3886.350098,0.204,298.594
3886.540039,0.202,
3886.600098,0.201,197.176
3886.850098,0.2,235.702
3887.100098,0.203,248.214
3887.350098,0.18,26.736
3887.530029,0.196,
3887.600098,0.198,66.382
3887.850098,0.207,116.739
3888.149902,0.204,118.567
3888.350098,0.203,89.137
3888.540039,0.205,
3888.600098,0.204,110.119
3888.850098,0.202,92.648
3889.100098,0.199,54.697
3889.350098,0.198,18.219
3889.5,0.202,
3889.600098,0.211,94.38
3889.850098,0.197,46.424
3890.149902,0.214,102.218
3890.350098,0.208,75.207
3890.52002,0.21,
3890.600098,0.204,41.018
3890.850098,0.221,116.776
3891.100098,0.217,93.509
3891.350098,0.193,46.424
3891.600098,0.145,0.514
3891.850098,0.18,5.085
3892.149902,0.139,2.163
3892.350098,0.199,42.478
3892.51001,0.193,
3892.600098,0.161,36.42
3892.850098,0.211,94.279
3893.100098,0.204,59.907
3893.350098,0.202,96.886
3893.5,0.173,
3893.600098,0.147,21.744
3893.800049,0.156,62.758
3894.100098,0.207,67.115
3894.350098,0.128,0.337
3894.550049,0.178,
3894.600098,0.18,3.969
3894.850098,0.144,0.905
3895.100098,0.221,34.196
3895.350098,0.222,41.551
3895.52002,0.224,
3895.600098,0.225,34.918
3895.850098,0.222,51.198
3896.149902,0.222,47.69
3896.350098,0.222,53.31
3896.52002,0.179,
3896.600098,0.206,17.892
3896.850098,0.218,51.926
3897.100098,0.214,50.32
3897.350098,0.207,31.663
3897.530029,0.2,
3897.600098,0.206,28.922
3897.850098,0.201,41.052
3898.149902,0.188,29.13
3898.350098,0.167,34.758
3898.540039,0.165,
3898.600098,0.168,22.319
3898.850098,0.174,84.756
3899.149902,0.166,45.14
3899.600098,0.2,1022.282
3899.850098,0.199,1015.532
3900.149902,0.207,1004.779
3900.350098,0.217,1776.619
3900.600098,0.202,1055.264
3900.850098,0.188,699.655
3901.100098,0.195,751.658
3901.350098,0.197,1865.9969
3901.5,0.184,
3901.600098,0.189,811.201
3901.850098,0.174,274.461
3902.149902,0.194,850.829
3902.350098,0.199,965.917
3902.530029,0.182,
3902.600098,0.193,268.273
3902.850098,0.187,169.699
3903.100098,0.184,129.016
3903.350098,0.19,149.925
3903.52002,0.181,
3903.600098,0.175,436.078
3903.850098,0.176,132.284
3904.149902,0.186,295.005
3904.350098,0.185,306.632
3904.530029,0.184,
3904.600098,0.186,194.546
3904.850098,0.192,754.944
3905.100098,0.187,448.794
3905.350098,0.183,703.766
3905.530029,0.171,
3905.600098,0.17,88.938
3905.850098,0.173,114.927
3906.149902,0.181,137.88
3906.350098,0.185,386.762
3906.52002,0.151,
3906.600098,0.188,81.876
3906.800049,0.151,
3907.100098,,
3907.350098,0.211,221.732
3907.850098,0.19,1345.3979
3908.100098,0.11,0.22
3908.5,0.149,
3908.850098,0.214,24.223
3909.100098,0.231,118.474
3909.169922,0.225,
3909.600098,0.228,94.239
3909.850098,0.223,85.278
3910.149902,0.223,92.306
3910.350098,0.22,81.891
3910.52002,0.231,
3910.600098,0.232,114.197
3910.850098,0.226,122.904
3911.100098,0.232,142.557
3911.350098,0.229,117.518
3911.51001,0.231,
3911.600098,0.236,132.152
3911.850098,0.211,49.462
3912.149902,0.209,44.769
3912.350098,0.231,150.643
3912.52002,0.229,
3912.600098,0.228,143.617
3912.850098,0.235,180.679
3913.100098,0.217,145.683
3913.350098,0.204,117.006
3913.530029,0.202,
3913.600098,0.201,118.74
3913.850098,0.207,143.109
3914.199951,0.195,36.959
3914.399902,0.194,29.857
3914.5,0.198,
3914.600098,0.185,18.738
3914.850098,0.199,27.895
3915.149902,0.204,41.299
3915.350098,0.212,50.207
3915.51001,0.212,
3915.600098,0.217,65.685
3916.050049,0.188,
3916.300049,0.221,71.349
3916.600098,0.242,170.088
3916.800049,0.232,134.77
3917,0.23,129.083
3917.350098,0.231,95.717
3917.5,0.228,
3917.600098,0.228,132.152
3917.850098,0.193,22.628
3918.100098,0.194,18.156
3918.350098,0.207,31.183
3918.48999,0.204,
3918.600098,0.198,29.816
3918.850098,0.166,9.89
3919.100098,0.202,31.894
3919.350098,0.15,2.979
3919.52002,0.162,
